City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,West Island,-12.1568,96.8225,82.38,78,40,16.11,CC,2023-05-30 19:29:38
68,Punta Arenas,-53.15,-70.9167,53.62,93,40,5.75,CL,2023-05-30 19:29:38
69,Pudasjarvi,65.3833,26.9167,45.88,60,89,7.54,FI,2023-05-30 19:29:39
70,Kuta,-8.7233,115.1723,80.55,83,40,10.36,ID,2023-05-30 19:29:39
71,Tazovsky,67.4667,78.7,54.86,54,97,15.68,RU,2023-05-30 19:29:39
72,Bamboo Flat,11.7,92.7167,78.89,89,40,2.3,IN,2023-05-30 19:29:40
73,Smithers,54.7804,-127.1743,50.32,46,75,2.3,CA,2023-05-30 19:28:51
74,Tsiombe,-25.3,45.4833,68.86,82,1,9.82,MG,2023-05-30 19:29:40
75,Shimoda,34.6667,138.95,66.11,92,100,3.36,JP,2023-05-30 19:29:40
76,Greenville,35.6127,-77.3663,78.96,77,75,14.97,US,2023-05-30 19:29:40
77,Thompson,55.7435,-97.8558,68.16,64,75,8.05,CA,2023-05-30 19:26:33
78,Ugoofaaru,5.6667,73.0,84.34,75,100,9.06,MV,2023-05-30 19:29:41
79,Codrington,-38.2667,141.9667,57.13,85,100,14.34,AU,2023-05-30 19:29:41
80,College,64.8569,-147.8028,44.58,94,100,6.91,US,2023-05-30 19:29:41
81,Port Elizabeth,-33.918,25.5701,61.11,89,0,8.05,ZA,2023-05-30 19:29:42
82,Constantia,44.1833,28.65,61.7,70,100,8.5,RO,2023-05-30 19:29:42
83,Chibougamau,49.9168,-74.3659,83.82,18,0,14.97,CA,2023-05-30 19:29:42
84,Haiku-Pauwela,20.9219,-156.3051,79.16,62,20,14.97,US,2023-05-30 19:29:42
85,Tabas,33.5959,56.9244,89.82,13,98,2.3,IR,2023-05-30 19:29:42
86,Harper,4.375,-7.7169,79.65,86,48,6.6,LR,2023-05-30 19:29:42
87,Saint-Pierre,-21.3393,55.4781,69.48,73,20,6.91,RE,2023-05-30 19:25:35
88,Placido De Castro,-10.3353,-67.1856,84.92,59,89,3.18,BR,2023-05-30 19:29:43
89,Longyearbyen,78.2186,15.6401,33.64,86,75,16.11,SJ,2023-05-30 19:29:43
90,Palmer,42.1584,-72.3287,77.83,34,20,8.05,US,2023-05-30 19:25:28
91,Huanggang,23.677,116.9996,78.69,80,4,1.59,CN,2023-05-30 19:29:43
92,Ola,59.5833,151.2833,52.14,61,100,13.89,RU,2023-05-30 19:29:43
93,Badger,64.8,-147.5333,44.51,93,100,6.91,US,2023-05-30 19:29:44
94,Colonia,50.9333,6.95,66.85,54,0,10.36,DE,2023-05-30 19:25:45
95,Leninskoye,41.7589,69.3864,66.07,35,0,2.84,KZ,2023-05-30 19:30:44
96,Carnarvon,-24.8667,113.6333,68.47,75,0,6.35,AU,2023-05-30 19:30:44
97,Mecatlan,20.2167,-97.6667,86.18,51,27,3.85,MX,2023-05-30 19:30:44
98,Bilibino,68.0546,166.4372,50.34,45,100,6.04,RU,2023-05-30 19:30:45
99,Al Bardiyah,31.7561,25.0865,69.48,79,95,12.62,LY,2023-05-30 19:30:45
100,Camarinas,43.1311,-9.1817,63.93,94,98,4.68,ES,2023-05-30 19:30:45
101,Olonkinbyen,70.9221,-8.7187,30.9,79,37,18.77,SJ,2023-05-30 19:30:45
102,Ilulissat,69.2167,-51.1,35.62,93,75,6.91,GL,2023-05-30 19:30:45
103,Fu'An,27.0892,119.6453,73.96,89,10,2.68,CN,2023-05-30 19:30:46
104,Tabuk,17.4189,121.4443,77.54,80,100,4.38,PH,2023-05-30 19:30:46
105,Sivas,39.7916,37.0019,50.63,81,40,8.05,TR,2023-05-30 19:30:46
106,Portland,45.5234,-122.6762,65.37,50,75,8.05,US,2023-05-30 19:28:48
107,Castillos,-34.1667,-53.8333,60.67,67,98,5.68,UY,2023-05-30 19:27:19
108,Pangobilian,8.8011,117.8594,80.78,85,100,8.84,PH,2023-05-30 19:30:47
109,Berdigestyakh,62.0989,126.6992,50.97,58,99,5.03,RU,2023-05-30 19:30:47
110,Tazacorte,28.629,-17.9293,72.57,64,40,3.44,ES,2023-05-30 19:28:21
111,Gamba,-2.65,10.0,75.54,91,45,6.67,GA,2023-05-30 19:30:47
112,Eket,4.6412,7.9209,79.18,87,83,5.88,NG,2023-05-30 19:30:47
113,Dauphin,51.1494,-100.0502,75.34,57,0,5.75,CA,2023-05-30 19:30:47
114,Rio Preto Da Eva,-2.6994,-59.6997,83.19,73,97,2.19,BR,2023-05-30 19:30:48
115,Usogorsk,63.4106,48.6872,50.76,78,15,5.66,RU,2023-05-30 19:30:48
116,Opuwo,-18.0607,13.84,59.4,22,11,4.29,NA,2023-05-30 19:30:48
117,Enewetak,11.3474,162.3373,79.54,80,100,5.08,MH,2023-05-30 19:30:48
118,Brookings,44.3114,-96.7984,86.05,52,0,5.75,US,2023-05-30 19:30:48
119,Keflavik,64.0049,-22.5624,46.31,87,75,9.22,IS,2023-05-30 19:30:48
120,Carutapera,-1.195,-46.02,79.61,89,88,8.25,BR,2023-05-30 19:30:53
121,Taroa,8.7058,171.2275,82.54,80,89,13.13,MH,2023-05-30 19:30:53
122,Prince Albert,53.2001,-105.7677,78.75,29,100,11.5,CA,2023-05-30 19:30:53
123,Isiro,2.7739,27.616,66.6,99,22,0.54,CD,2023-05-30 19:30:54
124,Kulhudhuffushi,6.6221,73.07,83.88,74,88,7.74,MV,2023-05-30 19:30:54
125,Axum,14.1245,38.7244,62.01,65,56,1.61,ET,2023-05-30 19:30:54
126,Savanna-La-Mar,18.219,-78.1332,82.92,84,100,2.8,JM,2023-05-30 19:30:54
127,Udomlya,57.8794,34.9925,45.79,97,100,5.64,RU,2023-05-30 19:30:54
128,Techiman,7.5862,-1.9414,75.7,84,80,1.79,GH,2023-05-30 19:30:54
129,Bredasdorp,-34.5322,20.0403,56.17,90,96,12.86,ZA,2023-05-30 19:30:54
130,Hinton,53.4001,-117.5857,71.2,25,66,7.11,CA,2023-05-30 19:30:41
131,Tecolotlan,20.2167,-104.05,93.85,9,0,2.01,MX,2023-05-30 19:30:55
132,Gilching,48.1021,11.2977,65.01,50,46,9.22,DE,2023-05-30 19:30:55
133,Talnakh,69.4865,88.3972,42.21,75,99,10.4,RU,2023-05-30 19:30:55
134,Fortuna,40.5982,-124.1573,57.92,84,100,4.61,US,2023-05-30 19:30:55
135,Lata,40.1629,-8.3327,63.91,95,90,3.42,PT,2023-05-30 19:30:07
136,Susuman,62.7833,148.1667,52.09,33,23,1.21,RU,2023-05-30 19:30:55
137,Crane,31.3974,-102.3501,91.99,26,5,14.05,US,2023-05-30 19:30:55
138,Osmanabad,18.1667,76.05,89.71,27,100,11.54,IN,2023-05-30 19:30:55
139,Floro,61.5996,5.0328,53.24,93,75,12.66,NO,2023-05-30 19:30:55
140,Manisa,38.8333,28.1667,60.78,86,100,0.89,TR,2023-05-30 19:30:32
141,Atafu Village,-8.5421,-172.5159,83.39,71,86,9.89,TK,2023-05-30 19:30:56
142,Ambovombe,-25.1667,46.0833,69.01,81,0,12.73,MG,2023-05-30 19:30:56
143,Shahrak,34.1074,64.3052,51.33,30,0,3.38,AF,2023-05-30 19:31:56
144,Manay,7.215,126.5397,79.68,83,100,10.31,PH,2023-05-30 19:31:56
145,Hazard,37.2495,-83.1932,83.89,44,92,1.9,US,2023-05-30 19:28:21
146,Isangel,-19.55,169.2667,69.91,88,75,0.0,VU,2023-05-30 19:31:57
147,Ilhabela,-23.7781,-45.3581,69.01,78,98,7.25,BR,2023-05-30 19:31:57
148,Kapa'A,22.0752,-159.319,79.12,79,20,12.66,US,2023-05-30 19:31:57
149,Whitehorse,60.7161,-135.0538,48.02,57,75,4.0,CA,2023-05-30 19:31:57
150,Chegdomyn,51.1167,133.0167,42.35,78,40,1.79,RU,2023-05-30 19:31:58
151,Gadzhiyevo,69.2551,33.3362,47.32,58,100,8.95,RU,2023-05-30 19:31:58
152,Canico,32.6333,-16.85,74.01,82,40,10.36,PT,2023-05-30 19:31:58
153,Elliot Lake,46.3834,-82.6331,78.87,38,2,8.19,CA,2023-05-30 19:31:58
154,Katsuren-Haebaru,26.3369,127.8719,81.37,98,100,14.97,JP,2023-05-30 19:31:59
155,Peace River,56.2501,-117.286,62.91,48,75,11.5,CA,2023-05-30 19:31:59
156,La'Ie,21.6477,-157.9253,82.36,69,20,5.99,US,2023-05-30 19:30:56
157,Palikir - National Government Center,6.9248,158.1611,75.94,94,75,0.0,FM,2023-05-30 19:31:59
158,Guerrero Negro,27.9769,-114.0611,67.69,53,2,16.46,MX,2023-05-30 19:31:59
159,Nadi,-17.8,177.4167,75.2,88,40,2.3,FJ,2023-05-30 19:32:00
160,Mooirivier,-29.2082,29.9946,52.95,64,56,1.86,ZA,2023-05-30 19:32:00
161,Hithadhoo,-0.6,73.0833,83.41,75,81,12.73,MV,2023-05-30 19:32:00
162,Sitka,57.0531,-135.33,46.29,81,100,3.44,US,2023-05-30 19:28:03
163,Luderitz,-26.6481,15.1594,56.32,89,0,11.03,NA,2023-05-30 19:32:00
164,Santa Ana De Yacuma,-13.75,-65.4333,75.15,78,75,9.22,BO,2023-05-30 19:32:00
165,Dudinka,69.4058,86.1778,42.62,77,77,12.86,RU,2023-05-30 19:32:00
166,Forster,-32.1667,152.5167,51.58,67,6,5.53,AU,2023-05-30 19:32:00
167,Fale Old Settlement,-9.3852,-171.2468,83.21,73,47,10.07,TK,2023-05-30 19:32:00
168,Pacific Grove,36.6177,-121.9166,66.81,71,100,9.22,US,2023-05-30 19:32:01
169,Lebu,-37.6167,-73.65,52.63,91,100,10.63,CL,2023-05-30 19:32:01
